api_or_component	category	description	role
load_cellchatdb	LR resource	CellChatDB loader	curated regular mode
load_omnipath_interactions	LR resource	OmniPath loader	external resource
load_lr_table	LR resource	CSV/TSV/Parquet LR table	user resource
compute_communication	Regular CCC	CellChat-like LR/source-target scoring	core workflow
compute_pathway_communication	Regular CCC	Pathway aggregation	core workflow
compare_samples	Differential CCC	Two-condition differential CCC	core workflow
compare_communication	Differential CCC	Compare two CCCResult objects	core workflow
pyccc.plotting	Visualization	Matplotlib plotting family	Python-native figures
pyccc.ggplot	Visualization	plotnine plotting family	Python-native figures
export_cellchat	Bridge	Write CellChat-compatible R export	optional R plotting
predict_lr_dbfree	DB-free	Target-species LR table prediction	optional extension
validate_spatial_lr_table	Spatial validation	Distance-aware spatial CCC validation	optional extension
