strategy	display_name	component	seconds
pyccc_python	pyccc native	prepared h5ad read	1.5527285730058793
pyccc_python	pyccc native	pyccc compute	8.128858309995849
pyccc_python	pyccc native	Python plotting	1.5624876520014368
pyccc_cellchat_bridge	pyccc + CellChat R plots	prepared h5ad read	1.5527285730058793
pyccc_cellchat_bridge	pyccc + CellChat R plots	pyccc compute	8.093869259988423
pyccc_cellchat_bridge	pyccc + CellChat R plots	export	1.1104746549972333
pyccc_cellchat_bridge	pyccc + CellChat R plots	CellChat R plots	16.777845756994793
direct_cellchat	direct CellChat R	MatrixMarket read/object setup	34.447154480977446
direct_cellchat	direct CellChat R	CellChat compute	157.183
direct_cellchat	direct CellChat R	R plotting	3.91900000000001
