source	target	ligand	receptor	pathway	prob_a	pvalue_a	ligand_expr_a	receptor_expr_a	prob_b	pvalue_b	ligand_expr_b	receptor_expr_b	delta_prob	abs_delta_prob	log2fc	percent_change	is_new	is_lost	direction
effector memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	MIF	CD74_CD44	MIF	4.774835970741208e-05		0.0019193857965451	0.0124390416476158	0.0001246458348999		0.0031152647975077	0.0200081504340578	-7.689747519253915e-05	7.689747519253915e-05	-1.3842929569537852	-0.6169228063774064	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	ANXA1	FPR1	ANNEXIN	5.341575322658779e-05		0.013915547024952	0.0019193857965451	0.0001212962199246		0.0194704049844236	0.0031152647975077	-6.788046669801447e-05	6.788046669801447e-05	-1.1831822909835563	-0.5596209603172161	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	LGALS9	PTPRC	GALECTIN	4.006234991008996e-05		0.0014395393474088	0.013915547024952	0.0001055293753752		0.0023364485981308	0.0225856697819314	-6.546702546517613e-05	6.546702546517613e-05	-1.39730335465244	-0.6203619122207737	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	LGALS9	PTPRC	GALECTIN	4.420654772649409e-05		0.0014395393474088	0.0153550863723608	0.0001091679220977		0.0023364485981308	0.0233644859813084	-6.496137437127669e-05	6.496137437127669e-05	-1.3041975996395632	-0.5950537307045848	False	False	normal
effector memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	ANXA1	FPR1	ANNEXIN	3.683906119336455e-05		0.0095969289827255	0.0019193857965451	9.703933004046538e-05		0.0155763239875389	0.0031152647975077	-6.020026884710083e-05	6.020026884710083e-05	-1.3973089993393857	-0.6203633975894104	False	False	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	LGALS9	PTPRC	GALECTIN	3.1773851225618755e-05		0.0014395393474088	0.0110364683301343	8.733624454148471e-05		0.0023364485981308	0.0186915887850467	-5.556239331586596e-05	5.556239331586596e-05	-1.458711644986504	-0.6361821191814006	False	False	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	LGALS9	PTPRC	GALECTIN	3.315527721495672e-05		0.0014395393474088	0.0115163147792706	8.733624454148471e-05		0.0023364485981308	0.0186915887850467	-5.4180967326528e-05	5.4180967326528e-05	-1.3973149851244395	-0.6203649727098081	False	False	normal
effector memory CD8-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	CCL5	CCR1	CCL	3.5457645382102174e-05		0.0369481765834932	0.0004798464491362	8.854914052748599e-05		0.0568535825545171	0.0007788161993769	-5.309149514538382e-05	5.309149514538382e-05	-1.3203571741442168	-0.5995642110686905	False	False	normal
central memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	MIF	CD74_CD44	MIF	4.774835970741208e-05		0.0019193857965451	0.0124390416476158	9.34872893752726e-05		0.0023364485981308	0.0200081504340578	-4.573892966786052e-05	4.573892966786052e-05	-0.969304272458438	-0.4892476905236683	False	False	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	LGALS9	PTPRC	GALECTIN	2.4866664026502335e-05		0.0014395393474088	0.0086372360844529	6.550361361601779e-05		0.0023364485981308	0.014018691588785	-4.0636949589515454e-05	4.0636949589515454e-05	-1.397325529366382	-0.6203677473425862	False	False	normal
