source	target	prob_a	prob_b	count_a	count_b	new_count	lost_count	delta_prob	abs_delta_prob	log2fc	delta_count	direction
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	0.0001498462854742	0.000371311306848	11	11	0	0	-0.0002214650213738	0.0002214650213738	-1.3091401836914018	0	normal
effector memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	0.0001101525160552	0.0002874915445981	7	7	0	0	-0.0001773390285429	0.0001773390285429	-1.384008997836215	0	normal
central memory CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	9.357519976564542e-05	0.0002048841192113	6	6	0	0	-0.0001113089194456	0.0001113089194456	-1.1306016597987665	0	normal
effector memory CD8-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	8.215500478358138e-05	0.0001905765592028	6	6	0	0	-0.0001084215544192	0.0001084215544192	-1.213940318972557	0	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD8-positive, alpha-beta T cell	5.617964424950562e-05	0.0001424845949206	7	7	0	0	-8.630495067111531e-05	8.630495067111531e-05	-1.3426709986255725	0	normal
CD14-positive, CD16-negative classical monocyte	central memory CD4-positive, alpha-beta T cell	4.7891466609618456e-05	0.0001297946021653	8	8	0	0	-8.190313555571686e-05	8.190313555571686e-05	-1.4383708558189452	0	normal
CD14-positive, CD16-negative classical monocyte	effector memory CD4-positive, alpha-beta T cell	5.02842301537392e-05	0.0001297946021653	8	8	0	0	-7.951037201159612e-05	7.951037201159612e-05	-1.3680348846475028	0	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	3.34928493279088e-05	8.33750637868383e-05	7	5	2	0	-4.98822144589295e-05	4.98822144589295e-05	-1.3157370742791927	2	normal
naive thymus-derived CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	3.084848355177206e-05	7.119514466075836e-05	6	6	0	0	-4.03466611089863e-05	4.03466611089863e-05	-1.206552782433903	0	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	1.335458867241403e-05	4.228400696929036e-05	3	3	0	0	-2.892941829687633e-05	2.892941829687633e-05	-1.6627026495682389	0	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	1.335458867241403e-05	3.5655619058664794e-05	3	3	0	0	-2.230103038625076e-05	2.230103038625076e-05	-1.416726347042384	0	normal
effector memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	1.197308295093634e-05	3.154047506180313e-05	4	4	0	0	-1.956739211086679e-05	1.956739211086679e-05	-1.3973349607551415	0	normal
central memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	1.197308295093634e-05	2.790119853393681e-05	4	4	0	0	-1.5928115583000474e-05	1.5928115583000474e-05	-1.220463632950063	0	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	1.601840772248078e-05	3.154047506180313e-05	4	4	0	0	-1.552206733932235e-05	1.552206733932235e-05	-0.9774293217772324	0	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	7.3680514382384e-06	1.9972553912021893e-05	3	3	0	0	-1.2604502473783491e-05	1.2604502473783491e-05	-1.438540226359791	0	normal
central memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	1.601840772248078e-05	2.790119853393681e-05	4	4	0	0	-1.1882790811456032e-05	1.1882790811456032e-05	-0.8005579939721543	0	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	5.986549109747865e-06	1.7546394086670677e-05	3	3	0	0	-1.1559844976922811e-05	1.1559844976922811e-05	-1.551219306957745	0	normal
effector memory CD8-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	7.368051862367947e-06	1.819645327719869e-05	4	4	0	0	-1.0828401414830744e-05	1.0828401414830744e-05	-1.3041856479395892	0	normal
effector memory CD8-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	8.379389417150728e-06	1.819645327719869e-05	4	4	0	0	-9.817063860047964e-06	9.817063860047964e-06	-1.1186473709662508	0	normal
naive thymus-derived CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	5.986549533877412e-06	1.5770293451847474e-05	4	4	0	0	-9.783743917970064e-06	9.783743917970064e-06	-1.3972633936412011	0	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	6.997887088660193e-06	1.5770293451847474e-05	4	4	0	0	-8.772406363187281e-06	8.772406363187281e-06	-1.1721035461021352	0	normal
effector memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	5.492986181858993e-06	1.3257011276895872e-05	3	2	1	0	-7.764025095036879e-06	7.764025095036879e-06	-1.270939198141505	1	normal
central memory CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	5.492986181858993e-06	9.942776117051e-06	3	2	1	0	-4.449789935192007e-06	4.449789935192007e-06	-0.8559405328077825	1	normal
effector memory CD8-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	1.7186278533107815e-06	3.314270478669433e-06	3	2	1	0	-1.595642625358652e-06	1.595642625358652e-06	-0.947030195054458	1	normal
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	1.7186278533107815e-06	3.314270478669433e-06	3	2	1	0	-1.595642625358652e-06	1.595642625358652e-06	-0.947030195054458	1	normal
