source_dataset	dataset	species	section_id	technology	validation_strategy	n_cells_or_bins	n_groups	n_lr_pairs_in_table	random_seed	n_permutations	validation_score_method	expression_potential_stat	expression_potential_power	kernel	score_type	null_model	k	top_k	n_pairs	observed_mean	observed_score	null_mean	null_sd	top_k_enrichment_z	top_k_empirical_pvalue	enrichment_z	empirical_p
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	coordinate_permutation	100	100	100	0.0001215061298649	0.0001215061298649	0.000121672258231	1.0447047787618575e-06	-0.1590194373304174	0.4765234765234765	-0.1590194373304174	0.4765234765234765
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	celltype_permutation	100	100	100	0.0001215061298649	0.0001215061298649	0.0001527706269863	4.144135158464721e-05	-0.7544275446121088	0.7762237762237763	-0.7544275446121088	0.7762237762237763
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	matched_random_lr	100	100	100	0.0001215061298649	0.0001215061298649	6.437881710341516e-05	6.420206696777666e-06	8.898048841667709	0.0009990009990009	8.898048841667709	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	score_permutation	100	100	100	0.0001215061298649	0.0001215061298649	0.0001215061298649	0.0	0.0	1.0	0.0	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	coordinate_permutation	500	500	500	7.706191240602439e-05	7.706191240602439e-05	7.722804121377058e-05	6.529420775153679e-07	-0.2544311562495095	0.5244755244755245	-0.2544311562495095	0.5244755244755245
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	celltype_permutation	500	500	500	7.706191240602439e-05	7.706191240602439e-05	9.69874008805262e-05	2.568776246642089e-05	-0.7756801901507951	0.7842157842157842	-0.7756801901507951	0.7842157842157842
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	matched_random_lr	500	500	500	7.706191240602439e-05	7.706191240602439e-05	5.549202594513054e-05	2.523319834020368e-06	8.548217380167328	0.0009990009990009	8.548217380167328	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	score_permutation	500	500	500	7.706191240602439e-05	7.706191240602439e-05	7.706191240602442e-05	2.7118617012166795e-20	-0.999499874937461	1.0	-0.999499874937461	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	coordinate_permutation	1000	1000	1000	5.1895308557378e-05	5.1895308557378e-05	5.202357685593468e-05	4.3598952889690313e-07	-0.2942004109163169	0.5444555444555444	-0.2942004109163169	0.5444555444555444
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	celltype_permutation	1000	1000	1000	5.1895308557378e-05	5.1895308557378e-05	6.45129494537725e-05	1.7044722912716025e-05	-0.7402667066521362	0.7682317682317682	-0.7402667066521362	0.7682317682317682
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	matched_random_lr	1000	1000	1000	5.1895308557378e-05	5.1895308557378e-05	4.395615617609584e-05	1.5637660503953895e-06	5.0769438173151205	0.0009990009990009	5.0769438173151205	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	spatial_ccc_score	score_permutation	1000	1000	1000	5.1895308557378e-05	5.1895308557378e-05	5.1895308557378016e-05	1.3559308506083394e-20	-0.999499874937461	1.0	-0.999499874937461	1.0
