dataset	ligand	receptor	model_score	ligand_role_score	receptor_role_score	candidate_strategy	nearest_reference_lr	nearest_reference_species	nearest_reference_resource	warning
artista_axolotl	AMEX60DD049522	AMEX60DD023636	0.9588220269897564	0.7933022894504775	0.2755575092996406	role_expression_cross_product;embedding_nearest_neighbor	NCAM1->NCAM2	human	CellChatDB	unmatched_expression_genes;unmatched_protein_genes
artista_axolotl	AMEX60DD023636	AMEX60DD049522	0.9530251318302018	0.718891756214444	0.4237642691107088	role_expression_cross_product;embedding_nearest_neighbor	Ncam2->L1cam	mouse	CellChatDB	unmatched_expression_genes;unmatched_protein_genes
artista_axolotl	AMEX60DD043107	AMEX60DD032011	0.9481364899019682	0.5832786756135961	0.9083998089952922	role_expression_cross_product;embedding_nearest_neighbor	NCAM1->NCAM2	human	CellChatDB	unmatched_expression_genes;unmatched_protein_genes
artista_axolotl	AMEX60DD049522	AMEX60DD025587	0.9453593546494936	0.7933022894504775	0.7667732431005141	role_expression_cross_product;embedding_nearest_neighbor	Cntn2->L1cam	mouse	CellChatDB	unmatched_expression_genes;unmatched_protein_genes
sota_soybean	SoyZH13-18G033900	SoyZH13-16G023600	0.9497695157870628	0.8107447551994378	0.8988665004833203	role_expression_cross_product	Solyc06g076400.3->Solyc01g095700.3	tomato	PlantCellChatDB	unmatched_expression_genes
sota_soybean	SoyZH13-18G033900	SoyZH13-07G054700	0.9454148224628754	0.8107447551994378	0.8808910213371024	role_expression_cross_product	Solyc06g076400.3->Solyc01g095700.3	tomato	PlantCellChatDB	unmatched_expression_genes
sota_soybean	SoyZH13-08G099900	SoyZH13-05G138800	0.9369247196294218	0.7670078373560459	0.2347281090548159	embedding_nearest_neighbor	Solyc10g086510.2->Solyc06g008120.1	tomato	PlantCellChatDB	unmatched_expression_genes
sota_soybean	SoyZH13-19G107600	SoyZH13-05G076700	0.9350112386735896	0.6684561111202484	0.9204697798662878	role_expression_cross_product;embedding_nearest_neighbor	Zm00001eb350560->Zm00001eb395750	maize	PlantCellChatDB	unmatched_expression_genes
